,wave1_amp,wave1_phase,wave2_amp,wave2_phase,wave3_amp,wave3_phase,wave4_amp,wave4_phase,wave5_amp,wave5_phase,wave6_amp,wave6_phase,wave7_amp,wave7_phase,wave8_amp,wave8_phase,wave9_amp,wave9_phase,ZW3_index,env_amp_mean,env_extent,env_start_lon,env_end_lon,nenv_amp_mean,nenv_extent,nenv_start_lon,nenv_end_lon
2001-03-02,1.1116009950637817,299.25,0.9714756011962891,72.0,1.709909439086914,90.75,2.1409716606140137,80.25,0.510368824005127,27.0,0.28630930185317993,15.75,0.21900837123394012,48.75,0.3335961699485779,28.5,0.06553824245929718,31.5,-0.020637989044189453,4.152714252471924,81.0,51.75,132.0,1.043727993965149,52.5,93.0,144.75
2001-03-03,1.1183110475540161,299.25,0.9624466300010681,71.25,1.8050082921981812,90.75,2.056203842163086,80.25,0.6001520752906799,27.0,0.23390577733516693,14.25,0.08141790330410004,48.75,0.31418630480766296,30.0,0.06670098006725311,30.0,0.024722576141357422,4.161437511444092,77.25,56.25,132.75,1.0461164712905884,51.0,93.75,144.0
2001-03-04,1.131740689277649,299.25,0.9542989730834961,70.5,1.865617036819458,91.5,1.8750163316726685,81.0,0.6829979419708252,28.5,0.24313752353191376,10.5,0.1838594526052475,43.5,0.299553245306015,27.0,0.047302212566137314,33.0,0.06320039182901382,4.129805564880371,70.5,64.5,134.25,1.0446622371673584,50.25,95.25,144.75
2001-03-05,1.1401394605636597,298.5,0.9523223042488098,69.0,1.910692572593689,91.5,1.7135298252105713,81.0,0.7565627694129944,30.0,0.3527608811855316,9.0,0.20510098338127136,46.5,0.36679187417030334,28.5,0.10287570208311081,29.25,0.06850043684244156,4.0749192237854,63.0,72.75,135.0,1.0459657907485962,46.5,100.5,146.25
2001-03-06,1.1336406469345093,297.75,0.9513641595840454,69.0,1.9225400686264038,91.5,1.5943080186843872,81.0,0.7011175155639648,32.25,0.4793855845928192,12.0,0.18382613360881805,46.5,0.3000524938106537,29.25,0.07556557655334473,33.75,0.052120208740234375,3.9699008464813232,51.75,78.75,129.75,0.9908672571182251,36.0,105.0,140.25
2001-03-07,1.1310315132141113,297.0,0.9606308937072754,68.25,1.8775880336761475,91.5,1.5370620489120483,80.25,0.6202684640884399,33.75,0.40871885418891907,15.75,0.2254135012626648,44.25,0.2906911075115204,28.5,0.09049208462238312,33.75,-0.0012627840042114258,3.8670132160186768,50.25,79.5,129.0,0.9404729604721069,30.75,77.25,107.25
2001-03-08,1.1299244165420532,296.25,0.9780363440513611,67.5,1.8311115503311157,91.5,1.5553003549575806,80.25,0.5568390488624573,36.75,0.33240944147109985,13.5,0.2655978500843048,47.25,0.3073623776435852,28.5,0.040869057178497314,33.0,0.00026706853532232344,3.8082427978515625,42.0,86.25,127.5,0.8901998400688171,33.0,77.25,109.5
2001-03-09,1.1233960390090942,296.25,1.0003703832626343,67.5,1.8091580867767334,90.0,1.6153028011322021,80.25,0.3113093674182892,39.0,0.3992913067340851,14.25,0.19638943672180176,48.0,0.28570929169654846,28.5,0.12436345964670181,32.25,-0.01372357178479433,3.7384870052337646,39.0,87.0,125.25,0.8028497099876404,21.75,85.5,106.5
2001-03-10,1.1168516874313354,295.5,1.0456395149230957,66.75,1.8458924293518066,88.5,1.7246791124343872,81.0,0.23804862797260284,29.25,0.35919028520584106,15.0,0.14313985407352448,45.0,0.2479325383901596,28.5,0.07405152171850204,35.25,0.012605707161128521,3.711254358291626,56.25,71.25,126.75,0.7182315587997437,10.5,90.75,100.5
2001-03-11,1.1270530223846436,295.5,1.0982545614242554,66.75,1.8773614168167114,87.75,1.7943521738052368,81.75,0.46081623435020447,30.0,0.30504077672958374,14.25,0.18382924795150757,45.0,0.23179331421852112,27.0,0.0854703038930893,32.25,0.033722203224897385,3.740708112716675,57.0,75.75,132.0,0.7184291481971741,15.0,87.0,101.25
2001-03-12,1.144843339920044,295.5,1.159850835800171,66.75,1.8823542594909668,87.0,1.8086293935775757,82.5,0.5628345012664795,33.75,0.367934912443161,12.75,0.13716089725494385,45.75,0.2553574740886688,27.0,0.1059858649969101,31.5,0.053888916969299316,3.753408193588257,56.25,80.25,135.75,0.7444390654563904,11.25,88.5,99.0
2001-03-13,1.16457998752594,294.75,1.2099685668945312,68.25,1.9086658954620361,86.25,1.7944263219833374,83.25,0.5680323839187622,38.25,0.45947861671447754,13.5,0.14740285277366638,40.5,0.22760774195194244,27.0,0.1262921392917633,32.25,0.07947774976491928,3.766669988632202,57.75,75.75,132.75,0.76675945520401,9.75,87.75,96.75
2001-03-14,1.1829935312271118,294.75,1.2457669973373413,69.0,1.9406077861785889,85.5,1.7484148740768433,84.0,0.4794211685657501,42.0,0.49732160568237305,15.75,0.21523717045783997,42.0,0.2548084259033203,26.25,0.13181646168231964,30.75,0.08186892420053482,3.775113582611084,61.5,69.75,130.5,0.7795499563217163,0.0,0.0,0.0
2001-03-15,1.2056970596313477,295.5,1.2597293853759766,69.75,2.010354995727539,84.0,1.6735113859176636,84.0,0.326034277677536,42.75,0.43855366110801697,17.25,0.21120794117450714,42.0,0.25457945466041565,28.5,0.15936368703842163,32.25,0.0921752080321312,3.764441967010498,65.25,66.0,130.5,0.7718181610107422,6.75,87.0,93.0
2001-03-16,1.2370750904083252,295.5,1.2565397024154663,70.5,2.12369704246521,82.5,1.6051675081253052,84.0,0.22840651869773865,42.0,0.3411109447479248,18.0,0.21760421991348267,43.5,0.22319179773330688,27.0,0.12485942244529724,31.5,0.14419753849506378,3.764090061187744,66.0,67.5,132.75,0.7705755829811096,14.25,81.0,94.5
2001-03-17,1.2742626667022705,294.75,1.2584999799728394,72.0,2.2217166423797607,81.75,1.6115788221359253,84.0,0.21050867438316345,36.75,0.3028987646102905,15.75,0.1891159564256668,42.75,0.3129684031009674,27.75,0.19140532612800598,31.5,0.2510626018047333,3.7824904918670654,76.5,60.75,136.5,0.7901046872138977,15.0,78.75,93.0
2001-03-18,1.3024181127548218,293.25,1.2626911401748657,72.75,2.356032609939575,81.0,1.5728840827941895,84.75,0.3074531853199005,35.25,0.3614409565925598,15.75,0.22047372162342072,43.5,0.24391278624534607,29.25,0.16352979838848114,31.5,0.3310592770576477,3.825187921524048,75.75,62.25,137.25,0.8132803440093994,12.0,82.5,93.75
2001-03-19,1.3120943307876587,292.5,1.2576850652694702,73.5,2.5309157371520996,80.25,1.4780720472335815,84.75,0.39940306544303894,38.25,0.36198487877845764,15.75,0.2560933232307434,42.75,0.21146160364151,27.75,0.15437987446784973,30.0,0.3889884650707245,3.8507845401763916,75.0,63.0,137.25,0.8149205446243286,0.0,0.0,0.0
2001-03-20,1.3074196577072144,292.5,1.2404696941375732,73.5,2.7264246940612793,79.5,1.4008411169052124,84.75,0.4258453845977783,40.5,0.39093342423439026,16.5,0.31929031014442444,45.0,0.2915218472480774,27.75,0.21596825122833252,30.0,0.42123880982398987,3.9090383052825928,80.25,59.25,138.75,0.7936127781867981,0.0,0.0,0.0
2001-03-21,1.3235605955123901,291.75,1.2251206636428833,72.0,2.916346549987793,79.5,1.297624111175537,84.0,0.4567287266254425,42.75,0.4125497341156006,17.25,0.3172423541545868,46.5,0.22579459846019745,28.5,0.18619826436042786,30.75,0.4240330159664154,3.9813361167907715,79.5,59.25,138.0,0.7773609757423401,0.0,0.0,0.0
2001-03-22,1.3470386266708374,291.75,1.2264608144760132,69.75,3.141411304473877,78.75,1.2426128387451172,82.5,0.45626166462898254,45.0,0.3997291028499603,18.75,0.2609795331954956,48.0,0.2757560908794403,26.25,0.1661771833896637,30.0,0.44808605313301086,4.114516735076904,90.0,51.75,141.0,0.797286868095398,0.0,0.0,0.0
2001-03-23,1.3708863258361816,291.75,1.2283626794815063,67.5,3.340698480606079,79.5,1.2792396545410156,81.0,0.47865796089172363,46.5,0.3598931133747101,18.75,0.2507428824901581,47.25,0.2487025111913681,27.0,0.1983109563589096,30.75,0.5281026363372803,4.236356258392334,96.0,48.0,143.25,0.8348501920700073,0.0,0.0,0.0
2001-03-24,1.3904767036437988,293.25,1.2158211469650269,66.0,3.558311700820923,79.5,1.3560638427734375,81.0,0.5039533972740173,48.75,0.37984323501586914,18.0,0.2092803716659546,48.0,0.33095911145210266,24.75,0.18987540900707245,30.75,0.6273748278617859,4.384147644042969,110.25,38.25,147.75,0.8905836343765259,0.0,0.0,0.0
2001-03-25,1.4118726253509521,293.25,1.1889146566390991,63.75,3.788038730621338,80.25,1.4098683595657349,81.75,0.5441557168960571,51.0,0.46563681960105896,18.0,0.15787263214588165,45.75,0.41958755254745483,27.75,0.17891553044319153,30.0,0.6960844397544861,4.589710712432861,116.25,39.75,155.25,0.9682877063751221,5.25,187.5,192.0
2001-03-26,1.4353424310684204,292.5,1.1361310482025146,61.5,3.9701669216156006,80.25,1.400068759918213,81.75,0.5263482332229614,54.0,0.5284073948860168,20.25,0.3072015643119812,42.75,0.2520900070667267,27.0,0.16060641407966614,30.0,0.758423388004303,4.762884140014648,133.5,15.75,148.5,1.058648705482483,27.0,174.75,201.0
2001-03-27,1.4679337739944458,291.75,1.0939117670059204,59.25,4.131519794464111,80.25,1.3873356580734253,81.75,0.42994225025177,55.5,0.5106388330459595,22.5,0.3198065757751465,45.0,0.3182275593280792,24.75,0.20943917334079742,29.25,0.8519667983055115,4.885076999664307,123.75,25.5,148.5,1.1239192485809326,24.75,178.5,202.5
2001-03-28,1.4904145002365112,291.75,1.0570151805877686,57.75,4.269144058227539,80.25,1.4109269380569458,81.75,0.33474063873291016,54.75,0.4570758044719696,21.0,0.32437726855278015,45.75,0.3259693384170532,24.0,0.2054755538702011,30.75,0.9165503978729248,4.992299556732178,138.0,17.25,154.5,1.1761280298233032,27.75,53.25,80.25
2001-03-29,1.5027672052383423,292.5,1.034157395362854,55.5,4.384746074676514,80.25,1.4586846828460693,81.75,0.3426594138145447,53.25,0.5460190773010254,19.5,0.3360995054244995,46.5,0.3387508690357208,24.0,0.2007393091917038,30.0,0.941340446472168,5.151349067687988,190.5,21.75,211.5,1.2933833599090576,39.0,46.5,84.75
2001-03-30,1.5155783891677856,294.0,1.0106433629989624,54.75,4.46643590927124,80.25,1.4657745361328125,81.75,0.35350334644317627,53.25,0.6477722525596619,21.0,0.29496875405311584,46.5,0.35721492767333984,23.25,0.17329874634742737,31.5,0.9200219511985779,5.288412094116211,191.25,23.25,213.75,1.3928560018539429,84.0,47.25,130.5
2001-03-31,1.5291037559509277,295.5,0.984706461429596,52.5,4.472894668579102,80.25,1.4837363958358765,81.0,0.2792891561985016,52.5,0.6755284070968628,23.25,0.2757100760936737,45.0,0.3961085081100464,24.0,0.20129676163196564,31.5,0.8995943069458008,5.334496974945068,181.5,32.25,213.0,1.4251596927642822,83.25,51.75,134.25
